irwinid,fire_name,agency,year_,alarm_date,cont_date,fire_duration,duration_bucket,c_method,objective,cause,gis_acres,centroid,lat,lon
{83FF98B9-0646-426F-9775-76697BD56D39},OAK,CDF,2020.0,2020-09-07 07:00:00,2020-09-28 07:00:00,21.0,15–45 days (extended attack),7.0,1.0,9,1146.466,POINT (-123.37811246997973 39.488367318813914),39.488367318813914,-123.37811246997973
,AIRPORT,CDF,2020.0,2020-12-01 08:00:00,2020-12-13 08:00:00,12.0,6–14 days (short duration),2.0,1.0,14,1085.7,POINT (-117.6280678442762 33.90291656797122),33.90291656797122,-117.6280678442762
{67C8B36C-AF0E-488C-AF84-765AAD6B9D9E},IVANPAH,NPS,2020.0,2020-06-22 07:00:00,2020-06-26 07:00:00,4.0,0–5 days (initial attack),8.0,1.0,8,1051.485,POINT (-115.1836122967357 35.19095491501129),35.19095491501129,-115.1836122967357
{3FEDDBE5-D05E-4ED6-94B5-92DE72CBF550},GRADE,CDF,2020.0,2020-06-22 07:00:00,2020-06-25 07:00:00,3.0,0–5 days (initial attack),1.0,1.0,7,1050.24,POINT (-119.17241222797958 36.55393447855189),36.55393447855189,-119.17241222797958
{A7920665-A4BB-47FA-871C-976D3213AB40},ALLEN,USF,2020.0,2020-07-21 07:00:00,2020-08-27 07:00:00,37.0,15–45 days (extended attack),3.0,1.0,1,1034.795,POINT (-121.07588230255311 41.357605954426184),41.357605954426184,-121.07588230255311
{D65F0439-388F-4168-AACA-A4F2836639A7},INDIA,DOD,2020.0,2020-06-09 07:00:00,2020-06-14 07:00:00,5.0,0–5 days (initial attack),8.0,1.0,9,959.2821,POINT (-117.34752503366748 33.35532598132019),33.35532598132019,-117.34752503366748
{9A02A1DA-E7D2-4567-8DF7-E33A4C9497B4},1-12,CDF,2020.0,2020-08-24 07:00:00,2020-09-10 07:00:00,17.0,15–45 days (extended attack),1.0,1.0,1,946.5836,POINT (-121.58442681598387 39.975043927646645),39.975043927646645,-121.58442681598387
{61AA84A0-8E88-4549-B694-BF14DD6E4CD4},5-4 POTTERS ,CDF,2020.0,2020-08-17 07:00:00,2020-09-10 07:00:00,24.0,15–45 days (extended attack),1.0,1.0,1,925.4019,POINT (-121.4921532076073 39.55521627051862),39.55521627051862,-121.4921532076073
{2CC6120E-41E4-4BB6-817A-F99205B1ECB0},ADAMS,USF,2020.0,2020-07-26 07:00:00,2020-07-31 07:00:00,5.0,0–5 days (initial attack),2.0,1.0,1,901.6728,POINT (-120.03287233745478 39.93214748469174),39.93214748469174,-120.03287233745478
{9716CBD8-3176-403E-90DC-C2575C72B943},BITTER,CDF,2020.0,2020-06-16 07:00:00,2020-06-20 07:00:00,4.0,0–5 days (initial attack),1.0,1.0,10,895.4044,POINT (-120.98356836448858 36.40952282715418),36.40952282715418,-120.98356836448858
{74F9525D-3F74-4353-87F1-94C819988153},SHOTGUN,USF,2020.0,2020-08-19 07:00:00,2021-01-04 08:00:00,138.0,95+ days (campaign fire),3.0,1.0,1,840.8506,POINT (-118.53807491826373 36.35056913879352),36.35056913879352,-118.53807491826373
{B15F6F4F-4EA5-4E8C-BDFF-B98E701A1593},CREEK,CDF,2020.0,2020-08-18 07:00:00,2020-08-26 07:00:00,8.0,6–14 days (short duration),7.0,1.0,10,834.2442,POINT (-123.18944186268779 39.80754863686015),39.80754863686015,-123.18944186268779
{F4D0B95E-066E-4883-85BE-D349FAE619F0},LIME,CCO,2020.0,2020-06-10 07:00:00,2020-06-17 07:00:00,7.0,6–14 days (short duration),7.0,1.0,14,802.5537,POINT (-118.78222612263738 34.45632444218268),34.45632444218268,-118.78222612263738
{5B6080CD-3E2B-4B14-914C-97708A04E7C1},COTTONWOOD,CDF,2020.0,2020-07-27 07:00:00,2020-07-29 07:00:00,2.0,0–5 days (initial attack),4.0,1.0,10,788.082,POINT (-121.18942207074245 37.079205597670935),37.079205597670935,-121.18942207074245
{31369C8B-B48E-439D-AC9F-8209EC0578BA},CLAY,CDF,2020.0,2020-07-29 07:00:00,2020-07-29 07:00:00,0.0,,1.0,1.0,3,740.1123,POINT (-121.14086385441638 38.414349324164085),38.414349324164085,-121.14086385441638
{0E5373E4-6CCB-483A-9327-A78B8766BDE4},ELK,CDF,2020.0,2020-08-16 07:00:00,2020-08-17 07:00:00,1.0,0–5 days (initial attack),1.0,1.0,1,730.4814,POINT (-122.42889564313022 39.57759942982194),39.57759942982194,-122.42889564313022
